base_id,name,bigg_id,kegg_id,formula,charge,confidence
m252,Coenzyme A,coa,C00010,C21H32N7O16P3S,0.0,database
m253,5-Phospho-alpha-D-ribose 1-diphosphate,prpp,C00119,C5H8O14P3,-5.0,database
m254,Adenosine,adn,C00002,C10H13N5O4,0.0,database
m255,S-Adenosyl-L-homocysteine,ahcys,C00021,C14H20N6O5S,0.0,database
m256,S-Adenosyl-L-methionine,amet,C00019,C15H23N6O5S,1.0,database
m257,S-Adenosylmethioninamine,ametam,C01137,C14H24N6O3S,2.0,database
m258,"7,8-Diaminononanoate",dann,C01037,C9H21N2O2,1.0,database
m259,S-Adenosyl-4-methylthio-2-oxobutanoate,amob,C04425,C15H19N5O6S,0.0,database
m260,GTP C10H12N5O14P3,gtp,C00044,C10H12N5O14P3,-4.0,database
m261,GDP C10H12N5O11P2,gdp,C00035,C10H12N5O11P2,-3.0,database
m262,5-phosphoribosyl-5-carboxyaminoimidazole,5caiz,C04823,C9H11N3O9P,-3.0,database
m263,5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide,aicar,C04677,C9H13N4O8P,-2.0,database
m264,Fumarate,fum,C00122,C4H2O4,-2.0,database
m265,Succinate,succ,,C4H4O4,-2.0,database
m266,GTP C10H12N5O14P3,gtp,C00044,C10H12N5O14P3,-4.0,database
m267,L-Aspartate,asp__L,C00049,C4H6NO4,0.0,database
m268,GDP C10H12N5O11P2,gdp,C00035,C10H12N5O11P2,-3.0,database
m269,3'-Phosphoadenylyl sulfate,paps,C00053,C10H11N5O13P2S,-4.0,database
m270,3'-Phosphoadenylyl sulfate,paps,C00053,C10H11N5O13P2S,-4.0,database
m271,Glyoxylate,glx,C00048,C2HO3,-1.0,database
m272,Glycine,gly,C00051,C2H5NO2,0.0,database
m273,tRNA(Ala),,,,,unmatched
m274,alanyl-tRNA(Ala),alatrna,,,,high
m275,Ethanol,etoh,C00132,C2H6O,0.0,database
m276,D-Glyceraldehyde,glyald,C00118,C3H6O3,0.0,database
m277,Glycerol,glyc,C00093,C3H8O3,0.0,database
m278,Acetaldehyde,acald,C00084,C2H4O,0.0,database
m279,Ethanol,etoh,C00132,C2H6O,0.0,database
m280,3 Aminopropanal C3H8NO,aproa,C05665,C3H8NO,1.0,database
m281,Beta-Alanine,ala_B,C00099,C3H7NO2,0.0,database
m282,Dihydroneopterin monophosphate,dhpmp,C04895,C9H12N5O7P,-2.0,database
m283,Dihydroneopterin,HC01361,C04874,C9H13N5O4,0.0,database
m284,Allantoate,alltt,C00499,C4H7N4O4,-1.0,database
m285,Urea CH4N2O,urea,C00086,CH5N2O,0.0,database
m286,(-)-Ureidoglycolate,urdglyc,C02766,C3H5N2O4,-1.0,database
m287,    Allantoin,alltn__R,C01551,C4H6N4O3,0.0,database
m288,Carbonic acid,h2co3,,H2CO3,0.0,database
m289,Beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol,mpdol,C05860,C117H192N2O22P2,-2.0,database
m290,GDP-D-mannose,gdpmann,C00096,C16H23N5O16P2,-2.0,database
m291,(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,m4mpdol,,C101H168N2O42P2,-2.0,database
m292,GDP C10H12N5O11P2,gdp,C00035,C10H12N5O11P2,-3.0,database
m293,Ps hs 18 1 18 1[c],ps_hs_18_1_18_1,,,,database
m294,Trehalose,tre,C00689,C12H22O11,0.0,database
m295,D-Glucose,glc__D,C00029,C6H12O6,0.0,database
m296,D-Glucose 6-phosphate,g6p,C00092,C6H11O9P,-2.0,database
m297,"Alpha,alpha'-Trehalose 6-phosphate",tre6p,,C12H21O14P,-2.0,database
m298,4 Guanidinobutanamide C5H13N4O,4gudbd,C03078,C5H13N4O,1.0,database
m299,4-Guanidinobutanal,gdbtal,C01035,C5H12N3O,1.0,database
m300,aminoacetone,,,,,unmatched
m301,Hydrogen peroxide,h2o2,C00027,H2O2,0.0,database
m302,Methylglyoxal,mthgxl,C00546,C3H4O2,0.0,database
m303,4-Aminobutanal,4abutn,C00555,C4H10NO,0.0,database
m304,Gama-L-glutamyl-L-alpha-aminobutyrate,CE1661,C15767,C9H15N2O5,-1.0,database
m305,Anthranilate,anth,C00108,C7H6NO2,-1.0,database
m306,N-(5-Phospho-D-ribosyl)anthranilate,pran,C04302,C12H13NO9P,-3.0,database
m307,"P1,P4-Bis(5''-adenosyl)tetraphosphate",AppppA,,,-4.0,database
m308,L-Arabinose,arab__L,C00259,C5H10O5,0.0,database
m309,L Arabinitol C5H12O5,abt,C00532,C5H12O5,0.0,database
m310,L-Arginine,arg__L,C00062,C6H15N4O2,0.0,database
m311,Ornithine,orn,C00077,C5H13N2O2,1.0,database
