class,mnxm,met_id,model_formula,metanetx_formula,metanetx_charge,H_diff,met_name
only_H,MNXM304,m348[C_cy],C10H16N2O3S,C10H15N2O3S,-1,1,biotin_C10H16N2O3S
only_H,MNXM1555803,m351[C_cy],C29H48O,C29H46O,0,2,14-demethyllanosterol_C29H48O
only_H,MNXM1103718,m376[C_em],C9H16N3O14P3,C9H12N3O14P3,-4,4,CTP_C9H16N3O14P3
only_H,MNXM1103046,m407[C_cy],C14H26N4O11P2,C14H25N4O11P2,-1,1,CDP-choline_C14H26N4O11P2
only_H,MNXM737312,m408[C_cy],C10H10O6,C10H8O6,-2,2,prephenate_C10H10O6
only_H,MNXM1092518,m409[C_mi],C6H6O6,C6H3O6,-3,3,cis-aconitate_C6H6O6
only_H,MNXM89661,m410[C_mi],C6H8O7,C6H5O7,-3,3,isocitrate_C6H8O7
only_H,MNXM1363834,m411[C_lp],C15H25O7P2,C15H28O7P2,0,-3,farnesyl diphosphate_C15H25O7P2
only_H,MNXM83,m412[C_lp],C5H12O7P2,C5H9O7P2,-3,3,isopentenyl diphosphate_C5H12O7P2
only_H,MNXM1102545,m414[C_lp],C20H36O7P2,C20H33O7P2,-3,3,geranylgeranyl diphosphate_C20H36O7P2
only_H,MNXM1107752,m433[C_mi],C6H8O7,C6H5O7,-3,3,citrate_C6H8O7
only_H,MNXM351,m438[C_cy],C34H40N4O4,C34H38N4O4,-2,2,protoporphyrinogen_C34H40N4O4
only_H,MNXM1101474,m439[C_cy],C9H15N2O15P3,C9H11N2O15P3,-4,4,UTP_C9H15N2O15P3
only_H,MNXM266,m459[C_cy],C9H14N3O7P,C9H12N3O7P,-2,2,dCMP_C9H14N3O7P
only_H,MNXM234,m460[C_cy],C9H13N2O8P,C9H11N2O8P,-2,2,dUMP_C9H13N2O8P
only_H,MNXM360,m461[C_cy],C9H16N3O13P3,C9H12N3O13P3,-4,4,dCTP_C9H16N3O13P3
only_H,MNXM452,m462[C_cy],C9H15N2O14P3,C9H11N2O14P3,-4,4,dUTP_C9H15N2O14P3
only_H,MNXM736654,m465[C_cy],C10H14N5O7P,C10H12N5O7P,-2,2,dGMP_C10H14N5O7P
only_H,MNXM436,m466[C_cy],C10H15N5O10P2,C10H12N5O10P2,-3,3,dGDP_C10H15N5O10P2
